                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.25713,                0.85817,                0.17918,                 0.2315,                 0.9042,                0.98618,                 0.9825,                0.99202,                0.88578,                0.85543,                 0.8525,                0.82638,                0.50098,                0.50579,                  2.393,                0.19011,                0.29909,                 0.9816,             9.7331e-06,             9.7331e-06,             9.7331e-06
                     23,                0.25468,                 0.8749,                0.17966,                0.23397,                0.90462,                0.98449,                 0.9825,                  0.992,                0.88479,                0.86105,                 0.8521,                0.82888,                0.49676,                0.50428,                 2.4115,                0.19408,                0.29839,                 0.9807,             9.7074e-06,             9.7074e-06,             9.7074e-06
                     24,                0.25083,                0.85949,                0.17365,                0.22862,                0.90026,                0.98274,                   0.98,                0.99181,                0.88652,                0.85783,                 0.8475,                0.82581,                0.49647,                0.50277,                 2.3957,                0.19298,                0.29893,                0.97913,             9.6804e-06,             9.6804e-06,             9.6804e-06
                     25,                0.25343,                0.84801,                0.17627,                0.22913,                0.90246,                 0.9831,                  0.985,                0.99217,                0.88349,                0.86071,                0.84962,                0.82867,                0.50255,                 0.5031,                 2.3972,                0.19023,                0.29699,                0.98113,             9.6524e-06,             9.6524e-06,             9.6524e-06
                     26,                0.25997,                0.86153,                0.17773,                0.23192,                0.91024,                0.99242,                0.98171,                 0.9927,                0.88376,                0.86251,                   0.85,                 0.8305,                0.50202,                0.50319,                 2.4018,                0.19212,                0.29845,                0.97871,             9.6232e-06,             9.6232e-06,             9.6232e-06
                     27,                0.25466,                0.86774,                0.17178,                0.22958,                0.90167,                 0.9874,                0.97931,                 0.9923,                0.88315,                0.86245,                   0.85,                0.82706,                 0.5013,                0.50401,                 2.3905,                 0.1912,                0.29821,                0.98111,             9.5929e-06,             9.5929e-06,             9.5929e-06
                     28,                0.25652,                0.86471,                0.17646,                0.23323,                0.90685,                0.98987,                0.97723,                0.99228,                0.88365,                0.86066,                0.84931,                0.82613,                0.50128,                0.50355,                 2.4034,                0.19329,                0.29642,                0.98174,             9.5614e-06,             9.5614e-06,             9.5614e-06
                     29,                0.25448,                0.83402,                0.17987,                0.23146,                0.90352,                0.98489,                 0.9774,                0.99166,                0.88536,                0.85889,                0.85211,                0.83218,                0.50115,                0.50306,                 2.4091,                0.19332,                0.29668,                0.98088,             9.5289e-06,             9.5289e-06,             9.5289e-06
                     30,                0.24512,                0.83714,                0.17362,                0.22576,                0.89403,                0.98696,                  0.975,                0.99176,                0.88573,                0.86039,                   0.85,                0.83207,                0.50501,                0.50197,                 2.4056,                0.19307,                0.29805,                0.98018,             9.4952e-06,             9.4952e-06,             9.4952e-06
                     31,                 0.2443,                 0.8229,                0.17493,                0.22202,                0.88856,                0.98737,                0.97697,                0.99174,                0.88679,                0.85851,                0.84948,                0.83214,                0.50293,                0.50342,                 2.4033,                0.19244,                  0.301,                0.97987,             9.4605e-06,             9.4605e-06,             9.4605e-06
                     32,                0.24762,                0.83097,                0.17973,                0.22565,                0.90179,                0.98715,                  0.975,                0.99174,                0.88498,                0.85546,                  0.845,                0.82832,                0.49864,                0.50272,                 2.4135,                0.19363,                0.29642,                0.97913,             9.4246e-06,             9.4246e-06,             9.4246e-06
                     33,                0.25516,                0.85566,                0.18055,                0.23179,                0.90709,                0.98722,                  0.975,                0.99171,                0.88412,                0.86311,                 0.8525,                0.83406,                0.50128,                0.50261,                 2.4084,                0.19006,                0.29687,                0.97996,             9.3877e-06,             9.3877e-06,             9.3877e-06
                     34,                0.24784,                0.85085,                0.17799,                0.22663,                0.89846,                  0.982,                 0.9875,                0.99212,                0.88533,                 0.8605,                   0.85,                0.83285,                0.49841,                0.50211,                 2.4188,                0.19178,                0.29555,                0.97837,             9.3497e-06,             9.3497e-06,             9.3497e-06
                     35,                0.24635,                0.79597,                0.17299,                0.22416,                 0.8953,                0.98734,                0.97495,                0.99178,                0.88551,                0.85552,                  0.845,                0.82571,                 0.5028,                0.50293,                 2.4096,                0.19212,                0.29591,                0.97862,             9.3107e-06,             9.3107e-06,             9.3107e-06
                     36,                0.23508,                0.84587,                0.17413,                0.21812,                 0.8918,                0.98005,                 0.9826,                0.99181,                0.88429,                0.86021,                   0.85,                0.83677,                0.50498,                0.50187,                 2.4026,                0.18963,                0.29719,                0.97567,             9.2706e-06,             9.2706e-06,             9.2706e-06
                     37,                0.24496,                0.78607,                0.17498,                0.21985,                0.89493,                0.98895,                  0.975,                0.99232,                 0.8854,                0.86162,                  0.845,                0.83304,                0.50363,                0.50309,                 2.4055,                0.18892,                0.29719,                0.97884,             9.2294e-06,             9.2294e-06,             9.2294e-06
                     38,                0.25022,                0.83086,                0.17212,                 0.2292,                0.89837,                 0.9914,                 0.9775,                0.99283,                0.88494,                0.85691,                  0.845,                0.82375,                0.50191,                0.50443,                 2.4047,                0.19018,                0.29639,                0.98164,             9.1872e-06,             9.1872e-06,             9.1872e-06
                     39,                0.24496,                0.85248,                0.17539,                0.22411,                0.89949,                 0.9924,                0.97934,                0.99266,                0.88697,                0.86574,                0.85441,                0.83734,                  0.503,                0.50489,                 2.3946,                0.18903,                0.29782,                0.98168,              9.144e-06,              9.144e-06,              9.144e-06
